train_loss,normal_val_loss
207896.3231534091,-276040.625
-612108.4460227273,-837812.625
-960426.0198863636,-1081396.0
-1175572.7386363635,-1271997.125
-1327584.8835227273,-1380160.15
-1450731.6477272727,-1514897.725
-1547301.4034090908,-1569217.575
-1625655.9119318181,-1666172.625
-1682928.8238636365,-1701442.2
-1742323.4602272727,-1762924.15
-1806695.6193181819,-1826845.575
-1861990.6335227273,-1879868.175
-1903493.5994318181,-1911333.325
-1949436.0056818181,-1961391.75
-1989846.1505681819,-1998189.95
-2013932.5085227273,-2020004.475
-2050577.4204545454,-2047374.825
-2087480.4119318181,-2078576.075
-2114547.034090909,-2102699.4
-2134282.4375,-2114406.65
-2160698.3125,-2143182.7
-2178445.1704545454,-2155037.05
-2193169.7670454546,-2165849.7
-2204309.840909091,-2172776.0
-2213420.8636363638,-2177706.0
-2219309.2613636362,-2182252.2
-2225418.3068181816,-2185829.45
-2228650.875,-2185044.65
-2229925.721590909,-2187472.9
-2231030.346590909,-2187510.4
