train_loss,normal_val_loss
556939.5725,523792.0416666667
478163.85125,423489.4583333333
377266.3925,338387.25
311867.91625,287319.4583333333
268153.79875,251902.47395833334
238926.50625,228662.45833333334
218906.755625,211657.80208333334
203666.3175,198291.421875
191388.42625,187340.41145833334
181224.13375,177982.484375
172754.99875,170722.80208333334
165763.17625,163988.85416666666
159375.571875,158101.109375
153795.384375,153138.59375
149234.224375,148875.609375
144908.11875,144875.15104166666
141162.6575,141295.671875
137630.8425,138009.75
134414.1221875,135012.71354166666
131758.5778125,132817.86458333334
129467.788125,130483.50520833333
127085.726875,128126.703125
124942.94125,126250.1875
123052.598125,124594.16927083333
121482.1371875,123028.578125
119994.0228125,121663.28385416667
118713.6371875,120432.35416666667
117355.181875,119127.48958333333
116135.871875,118006.35416666667
115015.3921875,117047.97395833333
114190.3084375,116181.73697916667
113291.8184375,115438.9375
112585.55375,114785.375
111893.1125,114171.7265625
111339.575,113736.63541666667
110929.8578125,113328.30208333333
110652.510625,113043.90885416667
110333.949375,112758.7734375
109971.826875,112563.33072916667
109901.909375,112387.15364583333
