train_loss,normal_val_loss
382494.176875,139625.11458333334
-173671.5828125,-458381.5
-601247.3575,-731982.1458333334
-829837.0075,-907692.75
-990586.715,-1048247.0416666666
-1113916.325,-1148911.2916666667
-1205672.545,-1223184.625
-1282907.84,-1307178.625
-1349974.665,-1364655.375
-1409110.09,-1416113.4583333333
-1463050.22,-1472635.9583333333
-1509422.93,-1503627.875
-1547226.915,-1548729.75
-1592557.22,-1583643.0416666667
-1615356.94,-1605492.125
-1649873.535,-1636812.6666666667
-1680907.705,-1660972.375
-1704779.595,-1676416.7083333333
-1726315.435,-1694502.75
-1746572.03,-1712601.75
-1761109.475,-1723892.7916666667
-1775727.925,-1733596.9583333333
-1784708.405,-1741232.875
-1795617.795,-1748553.2916666667
-1802342.62,-1751709.1666666667
-1807439.445,-1755419.6666666667
-1810993.13,-1756690.3333333333
-1813617.695,-1758034.2083333333
-1815000.065,-1757355.3333333333
-1815872.65,-1757934.3333333333
