source_group,class_name,source_date,pool_files,current_val_files,current_test_files,current_unused_files,spans_val_and_test
anomaly:2025-08-06_11-28-56_L0408_1,anomalies,2025-08-06_11-28-56,24,0,0,24,False
anomaly:2025-08-06_11-33-04_L0412_1,anomalies,2025-08-06_11-33-04,31,1,1,29,True
anomaly:2025-08-06_11-40-53_L0420_1,anomalies,2025-08-06_11-40-53,31,0,1,30,False
anomaly:2025-08-08_14-09-52_L0128_1,anomalies,2025-08-08_14-09-52,123,3,9,111,True
anomaly:2025-08-08_14-20-39_L0132_1,anomalies,2025-08-08_14-20-39,128,3,10,115,True
anomaly:2025-08-08_14-23-16_L0133_1,anomalies,2025-08-08_14-23-16,126,3,7,116,True
anomaly:2025-08-14_14-33-39_L0117_1,anomalies,2025-08-14_14-33-39,83,0,1,82,False
anomaly:2025-08-14_14-44-14_L0123_1,anomalies,2025-08-14_14-44-14,87,2,8,77,True
anomaly:2025-09-10_15-20-02_L0122_1,anomalies,2025-09-10_15-20-02,72,1,1,70,True
anomaly:2025-09-10_15-37-12_L0130_1,anomalies,2025-09-10_15-37-12,39,0,3,36,False
anomaly:2025-09-24_14-46-03_L0097_1,anomalies,2025-09-24_14-46-03,72,0,2,70,False
anomaly:2025-09-24_15-04-12_L0102_1,anomalies,2025-09-24_15-04-12,102,0,4,98,False
anomaly:2025-09-24_15-17-17_L0105_1,anomalies,2025-09-24_15-17-17,107,1,6,100,True
normal:2025-02-07_test:178_obj16,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:178_obj19,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:178_obj32,good,2025-02-07_test,1,1,0,0,False
normal:2025-02-07_test:178_obj38,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:178_obj40,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:178_obj59,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:178_obj7,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:178_obj8,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:344_obj24,good,2025-02-07_test,1,1,0,0,False
normal:2025-02-07_test:344_obj48,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:60_obj16,good,2025-02-07_test,1,1,0,0,False
normal:2025-02-07_test:60_obj19,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:60_obj32,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:60_obj38,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:60_obj40,good,2025-02-07_test,1,0,1,0,False
normal:2025-02-07_test:60_obj59,good,2025-02-07_test,1,1,0,0,False
normal:2025-02-07_test:60_obj7,good,2025-02-07_test,1,1,0,0,False
normal:2025-02-07_test:60_obj8,good,2025-02-07_test,1,0,1,0,False
normal:2025-06-25_test:119_obj1,good,2025-06-25_test,5,0,0,5,False
normal:2025-06-25_test:119_obj11,good,2025-06-25_test,8,0,0,8,False
normal:2025-06-25_test:119_obj13,good,2025-06-25_test,8,0,0,8,False
normal:2025-06-25_test:119_obj15,good,2025-06-25_test,8,0,0,8,False
normal:2025-06-25_test:119_obj17,good,2025-06-25_test,8,0,0,8,False
normal:2025-06-25_test:119_obj3,good,2025-06-25_test,8,0,0,8,False
normal:2025-06-25_test:119_obj5,good,2025-06-25_test,8,0,0,8,False
normal:2025-06-25_test:119_obj7,good,2025-06-25_test,8,0,0,8,False
normal:2025-06-25_test:119_obj9,good,2025-06-25_test,8,0,0,8,False
normal:2025-06-25_test:120_obj1,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:120_obj11,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:120_obj13,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:120_obj15,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:120_obj17,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:120_obj3,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:120_obj5,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:120_obj7,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:120_obj9,good,2025-06-25_test,9,0,0,9,False
