top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected
1,6.781684027777777e-06,0.4619047619047619,0.31147583272191354,0.5085227272727273,0.4985567759177141,-0.18509662063696358,0.6749999999999999,0.17696969696969697,0.0,0.3543650793650793,False
74,0.0005018446180555555,0.4619047619047619,0.31031530747170855,0.5148863636363636,0.5003869015868632,-0.14326731852357544,0.69,0.18391345496608655,0.0,0.3543650793650793,False
147,0.0009969075520833333,0.46785714285714286,0.31320737593699766,0.5178409090909091,0.5055947999845224,-0.12697483083731353,0.695,0.18608946608946608,0.0,0.3543650793650793,False
369,0.00250244140625,0.4869047619047619,0.3211482794963805,0.5336363636363637,0.5143674099511248,-0.07386855909580262,0.69,0.18687423687423688,0.0,0.3543650793650793,False
737,0.004998101128472222,0.49642857142857144,0.32642419137565976,0.5371590909090909,0.5175453904454637,-0.0024734196684731073,0.7,0.1958892958892959,0.0,0.3543650793650793,False
1475,0.010002983940972222,0.5357142857142857,0.34799943257826943,0.5794318181818181,0.5559095161904843,0.10864489192363011,0.715,0.20985754985754987,0.08000000000000002,0.371031746031746,False
3686,0.024997287326388888,0.5952380952380952,0.39307674353652894,0.6296590909090909,0.6047487437907241,0.3055321378457813,0.76,0.26165447579240686,0.24,0.419047619047619,False
7373,0.05000135633680555,0.6428571428571429,0.4311976804159881,0.6648863636363637,0.6390733312060697,0.4835413287085948,0.7650000000000001,0.2827272727272727,0.28,0.45238095238095233,False
9216,0.0625,0.6654761904761904,0.44605757881731695,0.6828409090909091,0.6505239125144625,0.5440153320799603,0.77,0.2898701298701299,0.28,0.45238095238095233,False
14746,0.1000027126736111,0.7011904761904761,0.47949539286056947,0.7042045454545455,0.6718925544656833,0.6857082556782713,0.775,0.3116520039100685,0.36,0.48571428571428565,False
29491,0.19999864366319445,0.769047619047619,0.5812355727179142,0.7720454545454545,0.7579105841278043,0.9460280804048067,0.8400000000000001,0.5227513227513227,0.6,0.6866666666666665,False
49152,0.3333333333333333,0.8166666666666667,0.6587945768402304,0.8056818181818182,0.8039488588538654,1.1754381386514978,0.8600000000000001,0.6046560846560847,0.6800000000000002,0.7433333333333334,False
73728,0.5,0.8464285714285714,0.705211247388557,0.836590909090909,0.8329581362695727,1.3766473169708486,0.89,0.685,0.6800000000000002,0.7433333333333334,False
147456,1.0,0.888095238095238,0.7710307142705275,0.875340909090909,0.8650047345126171,1.7269632167391764,0.9299999999999999,0.7688235294117647,0.8,0.835,True
