epoch,train_loss,normal_val_loss,learning_rate,epoch_duration_seconds
1,509666.2134375,424020.162109375,8.625000000000006e-06,28.16566050000074
2,367919.3990625,325502.2265625,1.575000000000001e-05,28.281466200000068
3,306438.8978125,281665.3818359375,2.2875000000000007e-05,28.463844700001573
4,271073.0884375,252536.970703125,3e-05,28.62130369999977
5,245445.91328125,229325.240234375,2.994482312233034e-05,28.733442200000354
6,224614.27484375,209917.0322265625,2.9779712418677044e-05,28.851576799999748
7,206695.9496875,193090.720703125,2.9505924481191513e-05,28.973394800001188
8,191452.0059375,178801.84716796875,2.91255430013957e-05,29.041184600000634
9,178375.8584375,166606.1025390625,2.8641462912031433e-05,29.077083799998945
10,167168.552421875,156904.25830078125,2.8057368354874373e-05,29.148755500000334
11,157577.97953125,147735.81201171875,2.7377704642190367e-05,29.2319480999995
12,149018.369140625,139783.15234375,2.6607644425225186e-05,29.23598739999943
13,141563.015390625,132326.29760742188,2.575304832720491e-05,29.231134499999825
14,134762.62796875,125981.51245117188,2.482042034045477e-05,29.370652899999186
15,128892.0630859375,120568.90869140625,2.3816858327090118e-05,29.308900699999867
16,123608.9600390625,115319.29077148438,2.2749999999999957e-05,29.29942459999984
17,118732.5275,111181.83715820312,2.16279647952401e-05,29.33908909999991
18,114502.6119140625,107139.84204101562,2.045929207822215e-05,29.284169399999882
19,110554.980078125,103488.78454589844,1.925287615398651e-05,29.38051599999926
20,107153.2176953125,99885.69946289062,1.8017898576170442e-05,29.298199799999566
21,103967.7055078125,96774.87902832031,1.6763758269841013e-05,29.342112599999382
22,101092.7745703125,94280.85656738281,1.549999999999993e-05,29.303240299999743
23,98523.7673828125,91842.73059082031,1.4236241730158885e-05,29.338605599999937
24,96241.4013671875,89686.39831542969,1.2982101423829447e-05,29.322680399998717
25,94203.39478515626,87841.37670898438,1.1747123846013378e-05,29.35056120000081
26,92419.686875,86101.18615722656,1.0540707921777735e-05,29.367029600000023
27,90742.58642578125,84673.08557128906,9.372035204759805e-06,29.296545700000934
28,89290.129921875,83362.35494995117,8.249999999999972e-06,29.412507000000915
29,88051.87755859375,82401.97897338867,7.183141672909825e-06,29.348200099999303
30,86952.53559570313,81263.8342590332,6.179579659545173e-06,29.337218900000153
31,86001.76568359375,80442.45874023438,5.24695167279506e-06,29.30485359999875
32,85214.03095703125,79754.68225097656,4.392355574774832e-06,29.339802899999995
33,84549.40858398438,79157.72744750977,3.6222953578096483e-06,29.33053099999961
34,83973.3491015625,78598.52837371826,2.942631645125676e-06,29.358996099999786
35,83521.96314453126,78217.27522277832,2.3585370879686024e-06,29.298255899999276
36,83142.3878125,77938.18420410156,1.8744569986043458e-06,29.37435220000043
37,82841.09360351562,77679.86408615112,1.4940755188085187e-06,29.326040099998863
38,82599.09764648437,77498.63957595825,1.2202875813229878e-06,29.36338430000069
39,82411.15109375,77315.72094726562,1.0551768776696902e-06,29.339965900000607
40,82246.73859375,77184.96472167969,1e-06,29.402420799999163
