top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected
1,6.781684027777777e-06,0.44999999999999996,0.3109140432737155,0.4925,0.5131079570893372,-0.23718094511233467,0.7000000000000001,0.21029530347608152,0.12,0.38055555555555554,False
74,0.0005018446180555555,0.46071428571428574,0.31290712741386645,0.5103409090909091,0.5164075712676413,-0.227820910772246,0.71,0.20295454545454547,0.039999999999999994,0.36103174603174604,False
147,0.0009969075520833333,0.45357142857142857,0.3077763600648613,0.5014772727272727,0.5047435565752144,-0.21876646277599723,0.685,0.1870388669301713,0.0,0.3543650793650793,False
369,0.00250244140625,0.46190476190476193,0.31234459157126837,0.5090909090909091,0.5109972485425378,-0.1721061818989709,0.69,0.1911111111111111,0.0,0.3543650793650793,False
737,0.004998101128472222,0.4726190476190476,0.3172660639860825,0.5146590909090909,0.5127105426218075,-0.11131494507919873,0.69,0.19144388749651908,0.0,0.3543650793650793,False
1475,0.010002983940972222,0.4988095238095238,0.33239129743901147,0.5404545454545455,0.5389058170390145,-0.0016035607466493955,0.72,0.2172175536881419,0.12,0.38055555555555554,False
3686,0.024997287326388888,0.5678571428571428,0.38191149035386734,0.6021590909090908,0.5996546505111904,0.2262795824276468,0.775,0.28917989417989415,0.27999999999999997,0.43555555555555553,False
7373,0.05000135633680555,0.6345238095238095,0.4355687867843087,0.6476136363636364,0.6396428929398243,0.4430922785389766,0.78,0.30606060606060603,0.27999999999999997,0.43238095238095237,False
9216,0.0625,0.6440476190476191,0.4420830563746274,0.6487499999999999,0.6366874075201157,0.5189397245833854,0.78,0.31831867057673513,0.32,0.4523809523809524,False
14746,0.1000027126736111,0.7095238095238096,0.5273627841757476,0.7042045454545455,0.7100925078537014,0.6927046395678867,0.8,0.4799853372434018,0.48000000000000004,0.6333333333333333,False
29491,0.19999864366319445,0.7654761904761904,0.602763019582957,0.7421590909090908,0.7583581183908084,1.0057350368431415,0.8250000000000001,0.5645833333333334,0.64,0.7166666666666666,False
49152,0.3333333333333333,0.8214285714285714,0.692689818376881,0.792840909090909,0.8070650624891427,1.267069430562462,0.865,0.7,0.7200000000000002,0.81,False
73728,0.5,0.8583333333333334,0.7494892432502025,0.8362499999999999,0.8480755670255047,1.4865341149564557,0.89,0.75,0.7200000000000002,0.81,False
147456,1.0,0.8952380952380953,0.794406903084848,0.8731818181818182,0.8681102695958611,1.813485961828664,0.925,0.7655555555555555,0.8,0.835,True
