epoch,train_loss,normal_val_loss,learning_rate,epoch_duration_seconds,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_fraction
1,496074.0634375,398494.41796875,8.625000000000006e-06,28.515648799999326,312479.04,466893.46875,1.0
2,334558.446875,284926.947265625,1.575000000000001e-05,28.501916999999594,83912.5202734375,190667.546875,1.0
3,266328.103125,243563.0107421875,2.2875000000000007e-05,28.82473469999968,43533.9091015625,56553.39453125,1.0
4,234816.8921875,216871.74609375,3e-05,29.014538499999617,51834.2115625,78588.609375,1.0
5,210949.09390625,195673.6875,2.994482312233034e-05,29.111293800000567,65106.131796875,105874.0078125,1.0
6,192976.32625,180006.927734375,2.9779712418677044e-05,29.30929809999907,82403.5748828125,146652.171875,1.0
7,179209.693515625,167919.486328125,2.9505924481191513e-05,29.220134200000757,95152.3778125,162829.71875,1.0
8,168311.374765625,157559.2666015625,2.91255430013957e-05,29.2883340999997,113271.4828125,198865.8125,1.0
9,159203.854921875,149496.126953125,2.8641462912031433e-05,29.274512300000424,134806.875546875,206920.203125,1.0
10,151967.46859375,143356.0703125,2.8057368354874373e-05,29.292045199999848,171382.326328125,282584.125,1.0
11,146098.59921875,136873.39111328125,2.7377704642190367e-05,29.293172599998798,167392.29703125,350246.1875,1.0
12,139928.117734375,131099.21459960938,2.6607644425225186e-05,29.390689300002123,174393.986875,317451.78125,1.0
13,135085.843984375,127186.30224609375,2.575304832720491e-05,29.33664190000127,270251.977109375,565321.9375,1.0
14,130998.38546875,122585.12133789062,2.482042034045477e-05,29.34656890000042,208684.515625,402492.71875,1.0
15,127214.208359375,119786.84692382812,2.3816858327090118e-05,29.332771199999115,338288.8940625,755359.5,1.0
16,124543.167734375,117206.97729492188,2.2749999999999957e-05,29.43113649999941,335484.85703125,630600.125,1.0
17,121454.214609375,113543.73022460938,2.16279647952401e-05,29.323088900000585,226558.781015625,419360.71875,1.0
18,117848.2373828125,110095.453125,2.045929207822215e-05,29.385068699997646,216995.359375,519760.34375,1.0
19,114304.8835546875,106943.02563476562,1.925287615398651e-05,29.379859900000156,232926.69375,473020.15625,1.0
20,111328.738984375,103858.818359375,1.8017898576170442e-05,29.453681200000574,252736.53640625,528841.5,1.0
21,108743.925078125,101521.64270019531,1.6763758269841013e-05,29.35778349999964,268057.5471875,717959.8125,1.0
22,106135.634296875,98923.0302734375,1.549999999999993e-05,29.38542779999989,205453.389140625,540122.75,1.0
23,103516.13498046875,96303.41760253906,1.4236241730158885e-05,29.343030399999407,237170.499453125,491264.65625,1.0
24,101383.1320703125,94485.8017578125,1.2982101423829447e-05,29.43312800000058,229866.96734375,435118.21875,1.0
25,99508.1307421875,92761.68432617188,1.1747123846013378e-05,29.315760199999204,299840.95,624936.3125,1.0
26,97862.8831640625,91145.42163085938,1.0540707921777735e-05,29.52388079999946,222171.919375,457669.59375,1.0
27,96216.98716796875,89809.08813476562,9.372035204759805e-06,29.440543000000616,241105.4371875,477461.1875,1.0
28,94845.3586328125,88575.61541748047,8.249999999999972e-06,29.4381300999994,257481.908984375,573970.0625,1.0
29,93605.7315234375,87356.5316772461,7.183141672909825e-06,29.390755100001115,229346.6425,572403.5,1.0
30,92401.52892578125,86031.45776367188,6.179579659545173e-06,29.423423000000184,221819.51015625,547644.875,1.0
31,91379.3565234375,85169.46887207031,5.24695167279506e-06,29.34691380000004,207604.566953125,351959.6875,1.0
32,90481.161640625,84332.88586425781,4.392355574774832e-06,29.476677999999083,191722.394765625,323941.90625,1.0
33,89687.04083007813,83635.44818115234,3.6222953578096483e-06,29.380164900001546,197505.1440625,467862.8125,1.0
34,89032.7124609375,83152.94445800781,2.942631645125676e-06,29.393091800000548,186794.06046875,305579.34375,1.0
35,88489.21896484375,82553.28009033203,2.3585370879686024e-06,29.374989099997038,183696.749296875,336324.5625,1.0
36,88031.64885742188,82237.78103637695,1.8744569986043458e-06,29.406636499999877,189403.217578125,381637.5625,1.0
37,87693.82784179687,81978.46826171875,1.4940755188085187e-06,29.387968799997907,185442.276796875,288551.03125,1.0
38,87409.04771484375,81678.7025756836,1.2202875813229878e-06,29.398890300002677,173550.664453125,289711.3125,1.0
39,87179.00126708984,81470.32998657227,1.0551768776696902e-06,29.357285300000513,165816.311328125,249637.34375,1.0
40,86972.27176757813,81271.27047729492,1e-06,29.426644999999553,175904.512578125,323749.40625,1.0
