top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected
1,6.781684027777777e-06,0.5226190476190475,0.3328950045344077,0.5528409090909091,0.5124147687352099,-0.07203376216994024,0.6900000000000001,0.18497091144149966,0.0,0.3543650793650793,False
74,0.0005018446180555555,0.5297619047619048,0.33657008325766913,0.5710227272727273,0.527548698146008,-0.013360079876182715,0.725,0.20255411255411254,0.07999999999999999,0.3705555555555555,False
147,0.0009969075520833333,0.5416666666666666,0.3430061859401268,0.5861363636363637,0.5366019646778897,0.023684834995144708,0.74,0.21140637140637142,0.07999999999999999,0.3705555555555555,False
369,0.00250244140625,0.5571428571428572,0.3515289660501611,0.5914772727272728,0.5393107148951891,0.10719535331242941,0.7350000000000001,0.20837606837606837,0.039999999999999994,0.36103174603174604,False
737,0.004998101128472222,0.5797619047619047,0.36496272923356476,0.6110227272727273,0.5582150109040861,0.20908361178703525,0.74,0.21292461924040867,0.08000000000000002,0.371031746031746,False
1475,0.010002983940972222,0.6190476190476191,0.39176745261432666,0.64625,0.5943880106797301,0.3493825358177179,0.765,0.24112554112554113,0.16000000000000003,0.421031746031746,False
3686,0.024997287326388888,0.6904761904761905,0.46143637420314093,0.7046590909090908,0.6586384191659758,0.5623172812514751,0.825,0.32426406926406925,0.4800000000000001,0.5342857142857143,False
7373,0.05000135633680555,0.7416666666666667,0.5092205708404187,0.7403409090909091,0.6874291883881647,0.7292648816869235,0.8350000000000001,0.3353174603174603,0.52,0.5533333333333332,False
9216,0.0625,0.7666666666666667,0.5333248117507745,0.7563636363636363,0.6993126599030466,0.7803843653972649,0.8300000000000001,0.34070048309178746,0.52,0.5533333333333332,False
14746,0.1000027126736111,0.7892857142857143,0.5528098890026558,0.7711363636363636,0.7090299668914442,0.8908682205522589,0.825,0.33888888888888885,0.52,0.5533333333333332,False
29491,0.19999864366319445,0.819047619047619,0.5906760457832992,0.80375,0.7521024050650462,1.0941800686418923,0.845,0.37817460317460316,0.56,0.5644444444444444,False
49152,0.3333333333333333,0.8428571428571429,0.6242016557644984,0.8300000000000001,0.7742983527012215,1.2892315638078113,0.8800000000000001,0.4444444444444444,0.64,0.6116666666666666,False
73728,0.5,0.8690476190476191,0.7057321335682678,0.8590909090909091,0.8305714461043914,1.4709922900152526,0.9000000000000001,0.6277777777777778,0.7200000000000001,0.7416666666666667,False
147456,1.0,0.8976190476190475,0.7695564417216616,0.8882954545454544,0.8622679742513024,1.7642213230004993,0.935,0.7357142857142858,0.8,0.8261904761904761,True
