top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected
1,6.781684027777777e-06,0.525,0.3621075716221244,0.5713636363636363,0.5842936211165306,0.010163960772540477,0.835,0.34391941391941394,0.32,0.44666666666666666,False
74,0.0005018446180555555,0.5571428571428572,0.3811658919183595,0.6081818181818183,0.6157283909056521,0.08522523158676437,0.8300000000000001,0.3715384615384615,0.32000000000000006,0.4746031746031746,False
147,0.0009969075520833333,0.5726190476190476,0.3882396442720121,0.6217045454545456,0.6202868160844202,0.13240790804687996,0.8200000000000001,0.3633333333333333,0.32000000000000006,0.4746031746031746,False
369,0.00250244140625,0.6023809523809524,0.4279422181609322,0.6448863636363636,0.6524113613900463,0.23902337934447498,0.825,0.4666666666666667,0.4,0.5888888888888888,False
737,0.004998101128472222,0.6142857142857143,0.43721392219828764,0.6513636363636364,0.6558694903223407,0.3607854146699755,0.8300000000000001,0.4827903091060986,0.4,0.5888888888888888,False
1475,0.010002983940972222,0.6452380952380953,0.48130412458128924,0.6786363636363637,0.6921581465656256,0.5312319886910439,0.8500000000000001,0.5883286647992529,0.48,0.6888888888888889,False
3686,0.024997287326388888,0.7297619047619047,0.6114854188786796,0.739659090909091,0.7630848453114578,0.8502371966204034,0.875,0.7071428571428571,0.6,0.7888888888888888,False
7373,0.05000135633680555,0.7821428571428571,0.6689659967083041,0.7904545454545455,0.7989687677914005,1.12516162632336,0.895,0.7253588516746412,0.6399999999999999,0.8,False
9216,0.0625,0.7964285714285715,0.6865101077450155,0.8011363636363636,0.8094155353694154,1.22060999013804,0.9,0.7388888888888889,0.68,0.8142857142857143,False
14746,0.1000027126736111,0.8380952380952381,0.7345631800988945,0.83125,0.8350132949360783,1.4399305922479477,0.92,0.7698412698412698,0.72,0.8333333333333333,False
29491,0.19999864366319445,0.894047619047619,0.8401399018692255,0.865,0.8779788342986471,1.7835311748858946,0.925,0.8500000000000001,0.8,0.8999999999999999,False
49152,0.3333333333333333,0.919047619047619,0.876875986250081,0.8859090909090909,0.899188829446388,2.0258298889657413,0.92,0.8476190476190477,0.8,0.8999999999999999,False
73728,0.5,0.9404761904761905,0.9124757175324774,0.9120454545454546,0.9223560573441291,2.2146358102630788,0.94,0.8588235294117648,0.8400000000000001,0.911111111111111,False
147456,1.0,0.9523809523809523,0.9286157547310114,0.9309090909090909,0.9373060657668928,2.402329286683759,0.9550000000000001,0.8714285714285714,0.88,0.925,True
