epoch,train_loss,normal_val_loss,learning_rate,epoch_duration_seconds,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_fraction
1,538096.16875,481141.63671875,8.625000000000011e-06,15.864826300006825,350358.385625,453109.90625,1.0
2,418657.790625,355269.599609375,1.5750000000000027e-05,15.646239499968942,180884.63859375,267286.375,1.0
3,327202.93,294309.79296875,2.2875000000000034e-05,15.748662400001194,59943.25734375,89259.953125,1.0
4,281872.3296875,259827.974609375,3e-05,15.814730599988252,47852.433828125,57032.6015625,1.0
5,254923.558125,238874.283203125,2.9944823122330316e-05,15.886422599956859,51940.17265625,68826.2890625,1.0
6,237332.208125,224090.39453125,2.977971241867703e-05,15.95196949999081,59953.872109375,95886.5234375,1.0
7,224033.4653125,212462.1591796875,2.9505924481191503e-05,16.00854370003799,70145.233515625,107096.296875,1.0
8,213407.5675,203102.5576171875,2.9125543001395685e-05,16.033728699956555,86249.07078125,147354.3125,1.0
9,204844.4084375,195372.31640625,2.864146291203145e-05,16.04120510001667,103121.023203125,182905.78125,1.0
10,197763.6053125,189017.3447265625,2.805736835487439e-05,16.056857499992475,109801.4534375,195214.125,1.0
11,191353.20734375,183005.49755859375,2.73777046421904e-05,16.12108170002466,122916.455,217934.421875,1.0
12,185826.088125,177986.33251953125,2.6607644425225213e-05,16.074157800001558,124790.78921875,285815.78125,1.0
13,180536.2553125,172902.7861328125,2.5753048327204972e-05,16.134638399991672,133444.90734375,199602.9375,1.0
14,175874.1403125,168755.40966796875,2.4820420340454853e-05,16.210922199999914,180311.74890625,340449.875,1.0
15,172141.3753125,165239.333984375,2.3816858327090203e-05,16.197912200004794,164869.78765625,312064.875,1.0
16,168765.8440625,162188.70361328125,2.2750000000000035e-05,16.150116099976003,211959.780625,491810.1875,1.0
17,165850.1725,159848.44091796875,2.1627964795240164e-05,16.167737399984617,230945.48390625,399149.46875,1.0
18,163384.986875,157122.689453125,2.045929207822223e-05,16.206853899988346,239956.67671875,411567.46875,1.0
19,161102.70484375,155256.5791015625,1.925287615398658e-05,16.13331659999676,280891.91015625,518326.34375,1.0
20,159049.6059375,153129.1669921875,1.8017898576170534e-05,16.149645900004543,240464.23296875,448110.3125,1.0
21,156898.3546875,151131.51171875,1.676375826984108e-05,16.134017499978654,257986.60671875,611594.1875,1.0
22,154980.81703125,149329.1220703125,1.5499999999999994e-05,16.199790000042412,222417.42921875,496687.6875,1.0
23,153082.2221875,147556.875,1.4236241730158946e-05,16.114432999980636,210404.9625,437631.125,1.0
24,151161.6325,145572.74658203125,1.2982101423829496e-05,16.146958499972243,206936.7484375,343317.96875,1.0
25,149440.60484375,144081.50537109375,1.1747123846013434e-05,16.204070800042246,264267.464375,706617.4375,1.0
26,148012.43078125,142788.03173828125,1.054070792177779e-05,16.197595799982082,241650.44953125,742918.5,1.0
27,146667.32234375,141653.6484375,9.372035204759847e-06,16.154279500013217,255409.24625,497048.03125,1.0
28,145514.5028125,140675.70263671875,8.249999999999992e-06,16.197551599994767,207689.903125,407961.1875,1.0
29,144364.73234375,139589.275390625,7.183141672909831e-06,16.18562160001602,209208.214375,507511.0,1.0
30,143375.7846875,138672.44775390625,6.179579659545179e-06,16.195911600021645,212645.71984375,565673.25,1.0
31,142523.54234375,137768.845703125,5.2469516727950615e-06,16.200634100008756,214760.77765625,600509.1875,1.0
32,141713.518125,137063.59912109375,4.3923555747748256e-06,16.20856980001554,192144.17484375,344515.46875,1.0
33,141047.8178125,136578.07373046875,3.6222953578096373e-06,16.160272700013593,220676.18234375,427329.90625,1.0
34,140513.555,136201.87841796875,2.9426316451256606e-06,16.134205700014718,176746.086875,375699.0,1.0
35,140039.99125,135732.90966796875,2.3585370879685927e-06,16.16667539998889,208091.10015625,505297.9375,1.0
36,139647.724375,135399.5888671875,1.8744569986043407e-06,16.23048700002255,165556.608125,406010.5625,1.0
37,139318.6709375,135093.1376953125,1.494075518808516e-06,16.196072500024457,173705.88359375,369569.90625,1.0
38,139039.57546875,134849.75048828125,1.2202875813229865e-06,16.17089529999066,151293.33453125,363161.71875,1.0
39,138814.07234375,134672.93359375,1.0551768776696905e-06,16.199194199987687,158314.3190625,285494.65625,1.0
40,138626.016875,134476.94921875,1e-06,16.20296840002993,160373.4271875,285524.625,1.0
