top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected
1,6.781684027777777e-06,0.46904761904761905,0.3143382749616682,0.5075000000000001,0.5078554933657612,-0.21674536599628566,0.71,0.19912698412698412,0.0,0.3543650793650793,False
74,0.0005018446180555555,0.49642857142857144,0.3248590213063074,0.5561363636363637,0.5322094972239328,-0.17004772691811207,0.7249999999999999,0.20858479755538578,0.07999999999999999,0.3705555555555555,False
147,0.0009969075520833333,0.4952380952380952,0.32268365632815343,0.5470454545454546,0.5235496188070928,-0.14621815741396854,0.7,0.19376453611747727,0.07999999999999999,0.3705555555555555,False
369,0.00250244140625,0.5023809523809524,0.32707761836125593,0.5485227272727273,0.5287972919486926,-0.07623966041297064,0.6900000000000001,0.19067523056653493,0.07999999999999999,0.3705555555555555,False
737,0.004998101128472222,0.5202380952380952,0.3388893270171957,0.5665909090909091,0.5484620703203129,0.010572835283183733,0.72,0.21533189033189032,0.08000000000000002,0.371031746031746,False
1475,0.010002983940972222,0.5452380952380952,0.3563845341665626,0.5903409090909091,0.5737104521799077,0.14795960085696977,0.7400000000000001,0.2409530083443127,0.12,0.38769841269841265,False
3686,0.024997287326388888,0.6154761904761905,0.44614808848255894,0.6503409090909091,0.6661341498356226,0.3902580508610172,0.79,0.40400662139792576,0.2,0.521031746031746,False
7373,0.05000135633680555,0.6773809523809524,0.5106749394666593,0.7019318181818182,0.7129749508763197,0.6025706903390556,0.8200000000000001,0.4593939393939394,0.48000000000000004,0.6333333333333333,False
9216,0.0625,0.6988095238095238,0.5329340648210228,0.71375,0.7248316071917899,0.6754450039514064,0.83,0.48772727272727273,0.52,0.6533333333333333,False
14746,0.1000027126736111,0.7416666666666667,0.5621168217440724,0.738409090909091,0.7393732265272948,0.8375302373865231,0.8250000000000001,0.49960317460317466,0.6,0.6866666666666665,False
29491,0.19999864366319445,0.7988095238095239,0.6370548259463646,0.7849999999999999,0.7850638425326703,1.1109768582923916,0.8550000000000001,0.5846560846560847,0.6800000000000002,0.7433333333333334,False
49152,0.3333333333333333,0.8285714285714286,0.6885859246360944,0.8032954545454545,0.8049266140875468,1.3374456631454639,0.865,0.6527472527472528,0.7200000000000002,0.81,False
73728,0.5,0.8642857142857143,0.7366808601771009,0.8446590909090909,0.8363266830720968,1.536151324482812,0.895,0.6987878787878787,0.76,0.8211111111111111,False
147456,1.0,0.905952380952381,0.8052371178436342,0.8903409090909091,0.8768996349215644,1.8357368988208083,0.925,0.7421568627450981,0.8,0.835,True
