top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected
1,6.781684027777777e-06,0.5166666666666666,0.3377946989223322,0.5518181818181819,0.5409933144844085,-0.07194908335141235,0.715,0.2151931075460487,0.08000000000000002,0.371031746031746,False
74,0.0005018446180555555,0.5071428571428571,0.33203878965793876,0.5447727272727273,0.5305551284226966,-0.09449957974593418,0.695,0.2014253548309276,0.08000000000000002,0.371031746031746,False
147,0.0009969075520833333,0.5107142857142857,0.3338532311907323,0.5477272727272727,0.5331575666216318,-0.09478065021201722,0.705,0.20579573934837092,0.08000000000000002,0.371031746031746,False
369,0.00250244140625,0.5238095238095237,0.34183998473565974,0.5689772727272728,0.5506089970180233,-0.06086843957480151,0.725,0.21608794714057872,0.08000000000000002,0.371031746031746,False
737,0.004998101128472222,0.5380952380952381,0.34809804960981106,0.5706818181818182,0.5491795373246479,0.01105214797096326,0.7250000000000001,0.21226495726495728,0.039999999999999994,0.36103174603174604,False
1475,0.010002983940972222,0.5630952380952381,0.3644977612180666,0.5878409090909091,0.5642200734569385,0.1450053366661348,0.755,0.233989898989899,0.039999999999999994,0.36103174603174604,False
3686,0.024997287326388888,0.6214285714285714,0.41669283564966103,0.6467045454545455,0.6329038532945747,0.3824293421025873,0.79,0.3069088319088319,0.24,0.42126984126984124,False
7373,0.05000135633680555,0.6904761904761905,0.4773864947478549,0.6801136363636364,0.662156117219586,0.601238290375687,0.805,0.34241926655719757,0.32,0.44666666666666666,False
9216,0.0625,0.7142857142857143,0.503421999882911,0.6985227272727272,0.6863173487233809,0.6793903184820204,0.81,0.3757525998905309,0.36000000000000004,0.48,False
14746,0.1000027126736111,0.7523809523809524,0.567325263950891,0.73625,0.736144501169674,0.8576384672257844,0.8250000000000001,0.5001970443349755,0.4800000000000001,0.6142857142857143,False
29491,0.19999864366319445,0.8035714285714286,0.665277286824715,0.7901136363636363,0.7955534572302212,1.1826532216006538,0.87,0.6542857142857144,0.64,0.7533333333333332,False
49152,0.3333333333333333,0.8464285714285714,0.7234302969198267,0.8301136363636363,0.8317835808526629,1.4501864840080883,0.8900000000000001,0.6968115942028985,0.64,0.7533333333333332,False
73728,0.5,0.8773809523809524,0.7856648143846554,0.8627272727272727,0.8676487559291213,1.6729130836919077,0.9199999999999999,0.81,0.8,0.8711111111111112,False
147456,1.0,0.9154761904761904,0.845461894623033,0.906590909090909,0.9073064707003854,1.9983898241298705,0.95,0.8666666666666667,0.88,0.925,True
