top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected
1,6.781684027777777e-06,0.6142857142857142,0.431659007094243,0.6115909090909091,0.5893306848971697,0.18923124668851835,0.775,0.28944444444444445,0.2,0.4046031746031746,False
74,0.0005018446180555555,0.6821428571428572,0.4909015198057402,0.6734090909090908,0.647248726284642,0.3464596596479169,0.825,0.3401449275362319,0.24,0.41888888888888887,False
147,0.0009969075520833333,0.7130952380952381,0.5144804430388431,0.7035227272727272,0.6693271771468917,0.4268981470665275,0.8450000000000001,0.3576190476190476,0.24,0.41888888888888887,False
369,0.00250244140625,0.775,0.5630923464957078,0.7730681818181818,0.7178944750017413,0.5435535224377948,0.885,0.39666666666666667,0.28,0.43,False
737,0.004998101128472222,0.8035714285714286,0.5925516747889976,0.8022727272727272,0.7410251476378484,0.6286667739304819,0.8999999999999999,0.41333333333333333,0.28,0.43,False
1475,0.010002983940972222,0.8345238095238094,0.6257424232932858,0.8356818181818182,0.7669363584353205,0.726824104509829,0.915,0.44666666666666666,0.32,0.44666666666666666,False
3686,0.024997287326388888,0.8559523809523809,0.6569553038491079,0.8515909090909091,0.7938282640137996,0.9043778506843833,0.93,0.5111111111111111,0.43999999999999995,0.5111111111111111,False
7373,0.05000135633680555,0.8690476190476191,0.6896271848002277,0.8606818181818182,0.8195762913197027,1.0813819921211432,0.9400000000000001,0.5644444444444444,0.52,0.5644444444444444,False
9216,0.0625,0.8726190476190476,0.6947479973807177,0.8648863636363637,0.8233997754912159,1.1521167811886486,0.9400000000000001,0.5644444444444444,0.52,0.5644444444444444,False
14746,0.1000027126736111,0.8928571428571428,0.7237810946786626,0.8852272727272728,0.8422940584700604,1.3351562009669613,0.9500000000000001,0.5926190476190476,0.6,0.5926190476190476,False
29491,0.19999864366319445,0.9166666666666665,0.7791827124257464,0.9061363636363635,0.8698075974468786,1.6941819050608002,0.9550000000000001,0.6226190476190475,0.64,0.6226190476190476,False
49152,0.3333333333333333,0.9273809523809524,0.7977976495753355,0.9179545454545455,0.8815630779127104,1.996933775495711,0.9600000000000001,0.6416666666666666,0.6799999999999999,0.6416666666666666,False
73728,0.5,0.9333333333333333,0.8275003179204858,0.9263636363636364,0.9047807615873714,2.206240426583742,0.97,0.7595238095238095,0.76,0.7595238095238095,False
147456,1.0,0.9416666666666667,0.8976153583314277,0.9380681818181817,0.9379525464656404,2.2255070951228544,0.99,0.9428571428571428,0.92,0.9428571428571428,True
