top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected
1,6.781684027777777e-06,0.6011904761904762,0.42753087255944083,0.5686363636363636,0.5360346583149873,0.34750607381485393,0.705,0.3520879120879121,0.28,0.5412698412698412,False
74,0.0005018446180555555,0.6178571428571429,0.407683813309742,0.5811363636363636,0.5251324348662926,0.32108960026640104,0.685,0.2448667672197084,0.28,0.45238095238095233,False
147,0.0009969075520833333,0.6261904761904762,0.41160449363611606,0.5882954545454545,0.5269747760618353,0.3189681807393372,0.6950000000000001,0.24754430834118546,0.28,0.45238095238095233,False
369,0.00250244140625,0.6404761904761904,0.4153087120019886,0.607840909090909,0.5351915616562698,0.322760239054215,0.69,0.24583333333333335,0.28,0.45238095238095233,False
737,0.004998101128472222,0.6583333333333333,0.4313013288581614,0.6211363636363636,0.5449885423592659,0.3390963233199508,0.7,0.24993589743589742,0.28,0.45238095238095233,False
1475,0.010002983940972222,0.6666666666666666,0.4306041761629284,0.6226136363636363,0.5422313620020615,0.3588814527006462,0.7000000000000001,0.21841415830546262,0.28,0.45238095238095233,False
3686,0.024997287326388888,0.694047619047619,0.4556442608141869,0.6407954545454546,0.5557535355953301,0.4262772673908943,0.715,0.22505980861244018,0.31999999999999995,0.4634920634920635,False
7373,0.05000135633680555,0.7452380952380953,0.5155175539295405,0.6860227272727273,0.5952698565368192,0.5503565164627373,0.75,0.243229869545659,0.31999999999999995,0.4634920634920635,False
9216,0.0625,0.7595238095238095,0.5353146495253056,0.7025,0.612613142561101,0.6105383798353645,0.78,0.26222222222222225,0.31999999999999995,0.4634920634920635,False
14746,0.1000027126736111,0.8011904761904761,0.5904984964759561,0.7480681818181818,0.6577928543807005,0.7881153815346282,0.8200000000000001,0.295021645021645,0.31999999999999995,0.4634920634920635,False
29491,0.19999864366319445,0.8464285714285714,0.6635724791081934,0.7969318181818181,0.7190677457079864,1.1956579448011933,0.8800000000000001,0.40465034965034963,0.4,0.49682539682539684,False
49152,0.3333333333333333,0.8809523809523809,0.7710686329870677,0.8410227272727273,0.7959886709574572,1.5455286167763282,0.93,0.5968253968253969,0.6000000000000001,0.6726190476190477,False
73728,0.5,0.9035714285714287,0.8392621170760615,0.8605681818181818,0.835760215484729,1.8192581791223528,0.93,0.6000000000000001,0.64,0.6926190476190477,False
147456,1.0,0.9452380952380952,0.9142009412245349,0.91875,0.9173778703565939,1.9524496855160403,0.96,0.8111111111111111,0.92,0.9266666666666665,True
