experiment_number,status,config_name,try_number,seed,stage,test_read,start_utc,end_utc,elapsed_seconds,duration_source,best_epoch,best_normal_val_loss,selected_top_k_pixels,selected_top_k_fraction,calibration_primary_roc_auc,calibration_object_roc_auc,calibration_source_image_roc_auc,run_dir
1,completed,resnet18_256,1,42,train_calibration,false,2026-07-22T20:49:38.3254054Z,2026-07-22T21:00:10.7897076Z,632.464,run_config_and_calibration_metrics_file_mtime,14,-976220.853125,65536,1.0,0.914659090909091,0.955,0.8800000000000001,experiments/printer/fastflow_resnet18_256_printer384_v2_final/try_1_seed_42
2,failed_pretraining,resnet18_384,1,42,train_calibration,false,2026-07-22T22:03:24.512755+00:00,,,not_measured_pretraining_failure,,,,,,,,experiments/printer/fastflow_resnet18_384_printer384_v2_final/try_1_seed_42
3,completed,resnet18_384,2,42,train_calibration,false,2026-07-22T22:11:50.7808950+00:00,2026-07-22T22:22:19.7459567+00:00,628.9650617,run_config_start_and_calibration_metrics_file_mtime,30,-2937849.9875,147456,1.0,0.9198863636363637,0.9650000000000001,0.8800000000000001,experiments/printer/fastflow_resnet18_384_printer384_v2_final/try_2_seed_42
4,completed,deit_base_distilled_384,1,42,train_calibration,false,2026-07-22T22:25:31.350569+00:00,2026-07-22T22:45:41.8426343Z,1210.4920653,run_config_start_and_calibration_metrics_file_mtime,40,97379.98022460938,147456,1.0,0.8731818181818182,0.925,0.8,experiments/printer/fastflow_deit_base_distilled_384_printer384_v2_final/try_1_seed_42
5,completed,deit_base_distilled_384_no_clip,1,42,train_calibration,false,2026-07-22T22:51:13.194979+00:00,2026-07-22T23:11:15.9136211Z,1202.7186421,run_config_start_and_calibration_metrics_file_mtime,40,77184.96472167969,147456,1.0,0.875340909090909,0.9299999999999999,0.8,experiments/printer/fastflow_deit_base_distilled_384_no_clip_printer384_v2_final/try_1_seed_42
6,completed,resnet18_384,3,123,train_calibration,false,2026-07-22T23:14:30.823969+00:00,2026-07-22T23:24:58.5435281Z,627.7195591,run_config_start_and_calibration_metrics_file_mtime,30,-2927802.25,147456,1.0,0.9368181818181818,0.97,0.92,experiments/printer/fastflow_resnet18_384_printer384_v2_final/try_3_seed_123
7,completed,deit_base_distilled_384,2,123,train_calibration,false,2026-07-22T23:27:00.587059+00:00,2026-07-22T23:47:08.9270691Z,1208.3400101,run_config_start_and_calibration_metrics_file_mtime,40,98305.18627929688,147456,1.0,0.9553409090909091,0.9750000000000001,0.88,experiments/printer/fastflow_deit_base_distilled_384_printer384_v2_final/try_2_seed_123
8,completed,resnet18_384,4,2025,train_calibration,false,2026-07-22T23:49:54.800865+00:00,2026-07-23T00:00:22.1989941Z,627.3981291,run_config_start_and_calibration_metrics_file_mtime,30,-2965243.3,147456,1.0,0.91875,0.96,0.92,experiments/printer/fastflow_resnet18_384_printer384_v2_final/try_4_seed_2025
9,completed,deit_base_distilled_384,3,2025,train_calibration,false,2026-07-23T00:02:13.440307+00:00,2026-07-23T00:22:21.3756430Z,1207.935336,run_config_start_and_calibration_metrics_file_mtime,40,81271.27047729492,147456,1.0,0.9426136363636364,0.97,0.84,experiments/printer/fastflow_deit_base_distilled_384_printer384_v2_final/try_3_seed_2025
10,completed,resnet18_384,2,42,locked_test,true,2026-07-23T00:30:47.607470+00:00,2026-07-23T00:31:27.9456883Z,40.3382183,test_provenance_start_and_test_metrics_file_mtime,,,147456,1.0,,,,experiments/printer/fastflow_resnet18_384_printer384_v2_final/try_2_seed_42
11,completed,resnet18_384,3,123,locked_test,true,2026-07-23T00:34:19.034576+00:00,2026-07-23T00:34:58.9888948Z,39.9543188,test_provenance_start_and_test_metrics_file_mtime,,,147456,1.0,,,,experiments/printer/fastflow_resnet18_384_printer384_v2_final/try_3_seed_123
12,completed,resnet18_384,4,2025,locked_test,true,2026-07-23T00:37:20.506212+00:00,2026-07-23T00:38:00.5680273Z,40.0618153,test_provenance_start_and_test_metrics_file_mtime,,,147456,1.0,,,,experiments/printer/fastflow_resnet18_384_printer384_v2_final/try_4_seed_2025
13,completed,deit_base_distilled_384,1,42,locked_test,true,2026-07-23T00:39:25.044113+00:00,2026-07-23T00:40:06.8602776Z,41.8161646,test_provenance_start_and_test_metrics_file_mtime,,,147456,1.0,,,,experiments/printer/fastflow_deit_base_distilled_384_printer384_v2_final/try_1_seed_42
