source_group,label,source_max_score,source_mean_score,tiles,config_name,seed
anomaly:2025-08-06_11-33-04_L0412_1,1,-0.5316017270088196,-0.5339703559875488,2,resnet18_384,42
anomaly:2025-08-08_14-09-52_L0128_1,1,-0.4952187538146972,-0.5223223079334606,11,resnet18_384,42
anomaly:2025-09-10_15-20-02_L0122_1,1,-0.5496046543121338,-0.5544000864028931,2,resnet18_384,42
anomaly:2025-09-24_14-46-03_L0097_1,1,-0.5461682677268982,-0.5522295534610748,2,resnet18_384,42
anomaly:2025-09-24_15-04-12_L0102_1,1,-0.5460899472236633,-0.5511585175991058,4,resnet18_384,42
normal:2025-02-07_test:178,0,-0.5607445240020752,-0.5784019008278847,8,resnet18_384,42
normal:2025-06-25_test:142,0,-0.5434300303459167,-0.5503648445010185,8,resnet18_384,42
normal:2025-06-25_test:231,0,-0.5547131299972534,-0.5893575474619865,8,resnet18_384,42
normal:2025-06-25_test:33,0,-0.5765186548233032,-0.6017232835292816,8,resnet18_384,42
normal:2025-06-25_test:86,0,-0.5781627297401428,-0.6002915799617767,8,resnet18_384,42
anomaly:2025-08-06_11-33-04_L0412_1,1,-0.5110309720039368,-0.512288510799408,2,resnet18_384,123
anomaly:2025-08-08_14-09-52_L0128_1,1,-0.473114013671875,-0.5118808719244871,11,resnet18_384,123
anomaly:2025-09-10_15-20-02_L0122_1,1,-0.5395594835281372,-0.5424834787845612,2,resnet18_384,123
anomaly:2025-09-24_14-46-03_L0097_1,1,-0.5263030529022217,-0.5381126999855042,2,resnet18_384,123
anomaly:2025-09-24_15-04-12_L0102_1,1,-0.5315006971359253,-0.5405330210924149,4,resnet18_384,123
normal:2025-02-07_test:178,0,-0.561857283115387,-0.5744314566254616,8,resnet18_384,123
normal:2025-06-25_test:142,0,-0.5308778285980225,-0.5429432243108749,8,resnet18_384,123
normal:2025-06-25_test:231,0,-0.546377420425415,-0.5772280544042587,8,resnet18_384,123
normal:2025-06-25_test:33,0,-0.57138991355896,-0.5960005298256874,8,resnet18_384,123
normal:2025-06-25_test:86,0,-0.5653998851776123,-0.5898762121796608,8,resnet18_384,123
anomaly:2025-08-06_11-33-04_L0412_1,1,-0.5333839058876038,-0.5354116857051849,2,resnet18_384,2025
anomaly:2025-08-08_14-09-52_L0128_1,1,-0.4911693334579468,-0.5196774114261974,11,resnet18_384,2025
anomaly:2025-09-10_15-20-02_L0122_1,1,-0.5493234992027283,-0.5530765950679779,2,resnet18_384,2025
anomaly:2025-09-24_14-46-03_L0097_1,1,-0.5389652252197266,-0.5493011474609375,2,resnet18_384,2025
anomaly:2025-09-24_15-04-12_L0102_1,1,-0.548250138759613,-0.556123673915863,4,resnet18_384,2025
normal:2025-02-07_test:178,0,-0.5623065829277039,-0.577610693871975,8,resnet18_384,2025
normal:2025-06-25_test:142,0,-0.5417634844779968,-0.5499720349907875,8,resnet18_384,2025
normal:2025-06-25_test:231,0,-0.5550131797790527,-0.5883749350905418,8,resnet18_384,2025
normal:2025-06-25_test:33,0,-0.5782037973403931,-0.6024025157094002,8,resnet18_384,2025
normal:2025-06-25_test:86,0,-0.565220057964325,-0.597344659268856,8,resnet18_384,2025
anomaly:2025-08-06_11-33-04_L0412_1,1,-0.5159363150596619,-0.5218249559402466,2,deit_base_distilled_384,42
