top_k_pixels,top_k_fraction,tile_roc_auc,tile_average_precision,source_group_balanced_tile_roc_auc,source_group_balanced_tile_average_precision,tile_cohens_d,object_roc_auc,object_average_precision,source_image_roc_auc,source_image_average_precision,selected,config_name,seed
1,6.781684027777777e-06,0.6452380952380953,0.4172824739294142,0.5826136363636364,0.5350700650922731,0.3666684956662321,0.77,0.2323953823953823,0.2399999999999999,0.4134920634920634,False,resnet18_384,42
74,0.0005018446180555,0.6535714285714285,0.4115814831908754,0.6192045454545454,0.5452301632445156,0.2707063160431386,0.74,0.2125541125541125,0.2399999999999999,0.4134920634920634,False,resnet18_384,42
147,0.0009969075520833,0.6523809523809523,0.4082434352330409,0.6269318181818181,0.5456109011100199,0.2360788397452145,0.73,0.2044871794871794,0.1999999999999999,0.4034920634920635,False,resnet18_384,42
369,0.00250244140625,0.6511904761904761,0.4063239011159412,0.6313636363636363,0.545931696231444,0.1985003620584625,0.71,0.193266499582289,0.1999999999999999,0.4034920634920635,False,resnet18_384,42
737,0.0049981011284722,0.6547619047619048,0.4092065723330354,0.6368181818181817,0.549073716736589,0.1866402252127782,0.7050000000000001,0.1909523809523809,0.1999999999999999,0.4034920634920635,False,resnet18_384,42
1475,0.0100029839409722,0.661904761904762,0.4135635256957247,0.6468181818181818,0.5547626852698195,0.194298536625182,0.71,0.1933333333333333,0.1999999999999999,0.4034920634920635,False,resnet18_384,42
3686,0.0249972873263888,0.6928571428571428,0.4371893133286952,0.6781818181818182,0.5756758179302097,0.3096094044527402,0.745,0.2161538461538461,0.1999999999999999,0.4034920634920635,False,resnet18_384,42
7373,0.0500013563368055,0.7333333333333334,0.4830169733118616,0.7111363636363637,0.6036566610790084,0.4893898019687683,0.77,0.2551490614648509,0.3199999999999999,0.4634920634920635,False,resnet18_384,42
9216,0.0625,0.7464285714285714,0.5061025966696808,0.7214772727272727,0.6167682291513293,0.5566585785499247,0.77,0.2556618819776714,0.3199999999999999,0.4634920634920635,False,resnet18_384,42
14746,0.1000027126736111,0.7773809523809524,0.5564643790867227,0.7356818181818182,0.6370100582809876,0.7437457809158788,0.78,0.2618538324420677,0.3199999999999999,0.4634920634920635,False,resnet18_384,42
29491,0.1999986436631944,0.8464285714285714,0.6502542512379519,0.8152272727272727,0.7246319018302786,1.172662943178481,0.86,0.3441558441558441,0.36,0.4768253968253968,False,resnet18_384,42
49152,0.3333333333333333,0.888095238095238,0.7523841483865026,0.8590909090909091,0.7927216504426962,1.5503890133617448,0.915,0.5638888888888889,0.6000000000000001,0.6726190476190477,False,resnet18_384,42
73728,0.5,0.901190476190476,0.8013001704976772,0.8705681818181817,0.8209086578379694,1.8669499694894156,0.91,0.5547979797979798,0.6000000000000001,0.6726190476190477,False,resnet18_384,42
147456,1.0,0.9488095238095238,0.9151863659032298,0.9198863636363636,0.9159384915734954,2.1305077234935474,0.965,0.7783333333333333,0.8800000000000001,0.8766666666666667,True,resnet18_384,42
1,6.781684027777777e-06,0.7595238095238095,0.5069999782278334,0.7678409090909091,0.6713770865148981,0.8067873603877581,0.86,0.3417748917748917,0.36,0.4577777777777778,False,resnet18_384,123
74,0.0005018446180555,0.7285714285714286,0.4754725001702405,0.7170454545454545,0.6229287995972664,0.6665756260622073,0.815,0.2859663865546218,0.2799999999999999,0.4301587301587302,False,resnet18_384,123
147,0.0009969075520833,0.7285714285714286,0.4765014158043715,0.7129545454545454,0.6205713583104218,0.6399087131536385,0.815,0.2859663865546218,0.2799999999999999,0.4301587301587302,False,resnet18_384,123
369,0.00250244140625,0.7273809523809525,0.4743923539352749,0.7121590909090909,0.6174450802148109,0.6192314451534126,0.8049999999999999,0.2764411027568922,0.2799999999999999,0.4301587301587302,False,resnet18_384,123
737,0.0049981011284722,0.736904761904762,0.4789593240564084,0.7263636363636363,0.6255545209114804,0.6231874862225408,0.81,0.2793650793650793,0.2799999999999999,0.4301587301587302,False,resnet18_384,123
1475,0.0100029839409722,0.75,0.4994784920383545,0.7357954545454546,0.6323341687896501,0.6608728531022434,0.815,0.2926330532212885,0.3199999999999999,0.4634920634920635,False,resnet18_384,123
3686,0.0249972873263888,0.7702380952380953,0.5207197556942937,0.7520454545454546,0.6424616179851211,0.7714150478296837,0.81,0.2849206349206349,0.3199999999999999,0.4634920634920635,False,resnet18_384,123
